,Words,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
28,manslaughter,172.0,149.0,160.0,193.0,174.0,209.0,176.0,220.0,351.0,267.0,224.0,237.0,247.0,217.0,192.0,208.0,298.0,463.0
29,assassination,388.0,382.0,491.0,441.0,487.0,472.0,570.0,618.0,678.0,610.0,492.0,544.0,809.0,747.0,628.0,543.0,478.0,544.0
30,terrorism,686.0,656.0,3524.0,3965.0,2966.0,2980.0,2060.0,2843.0,2618.0,1923.0,1845.0,1682.0,1437.0,1161.0,1280.0,1431.0,2078.0,2973.0
31,terrorist,671.0,687.0,5340.0,4588.0,3370.0,3146.0,2266.0,3032.0,2604.0,2193.0,2089.0,1982.0,1947.0,1707.0,1600.0,1839.0,2432.0,3299.0
32,terror attack,3.0,12.0,148.0,137.0,93.0,75.0,57.0,60.0,60.0,37.0,35.0,29.0,30.0,12.0,30.0,32.0,41.0,83.0
33,shootings,693.0,384.0,338.0,441.0,456.0,234.0,267.0,458.0,609.0,335.0,428.0,332.0,497.0,605.0,741.0,548.0,927.0,1396.0
34,gun violence,103.0,127.0,55.0,35.0,41.0,47.0,39.0,46.0,102.0,71.0,78.0,46.0,80.0,204.0,736.0,265.0,313.0,515.0
35,knife attack,1.0,2.0,6.0,3.0,3.0,1.0,3.0,5.0,2.0,4.0,7.0,2.0,2.0,6.0,3.0,29.0,37.0,47.0
36,knifing,16.0,8.0,7.0,6.0,3.0,4.0,4.0,9.0,11.0,6.0,10.0,21.0,11.0,9.0,4.0,11.0,6.0,12.0
37,lynching,53.0,100.0,37.0,53.0,48.0,43.0,52.0,65.0,77.0,70.0,49.0,42.0,67.0,45.0,50.0,50.0,85.0,98.0
38,drug overdose,35.0,22.0,26.0,23.0,24.0,31.0,29.0,26.0,50.0,34.0,47.0,52.0,58.0,43.0,33.0,54.0,56.0,92.0
